"Level","Date","Mr","Message"
"INFO","04/12/2025 21:37:23:486","UuaasDefault","com.bbva.kusu.lib.r325.impl.KUSUR325Impl - START executeGetAliasFavoriteContractsList() with all params"
"INFO","04/12/2025 21:37:23:486","UuaasDefault","com.bbva.kusu.lib.r325.impl.KUSUR325Impl - -userId -> R20457373296"
"INFO","04/12/2025 21:37:23:486","UuaasDefault","com.bbva.kusu.lib.r325.impl.KUSUR325Impl - -profileId -> R20457373296"
"INFO","04/12/2025 21:37:23:486","UuaasDefault","com.bbva.kusu.lib.r325.impl.KUSUR325Impl - -contracts -> [AliasFavContractEntity [toString()=AliasFavCommons [gfContractAliasName=null, gPreferredContractId=null, gfAuditDate=null, gOperativeContractIndType=null, gVisibleContractIndType=null, toString()=AuditContAccountCommons [gContractId=PE00110130218000011612, gUserAccountId=null, gfUserAuditId=null]]]]"
"INFO","04/12/2025 21:37:23:486","UuaasDefault","com.bbva.kusu.lib.r325.impl.KUSUR325Impl - -contractsAux -> [AliasFavContractEntity [toString()=AliasFavCommons [gfContractAliasName=null, gPreferredContractId=null, gfAuditDate=null, gOperativeContractIndType=null, gVisibleContractIndType=null, toString()=AuditContAccountCommons [gContractId=PE00110130218000011612, gUserAccountId=null, gfUserAuditId=null]]]]"
"INFO","04/12/2025 21:37:23:488","UuaasDefault","com.bbva.kusu.lib.r325.impl.KUSUR325Impl - -kusuR205.executeGetGlobalUserAccountId -> R20457373296"
"INFO","04/12/2025 21:37:23:490","UuaasDefault","com.bbva.kusu.lib.r325.impl.KUSUR325Impl - -kusuR106.executeReadCustUserProfile -> null"
"INFO","04/12/2025 21:37:23:490","UuaasDefault","com.bbva.kusu.lib.r325.impl.KUSUR325Impl - ALPHA Flow"
"INFO","04/12/2025 21:37:23:490","UuaasDefault","com.bbva.kusu.lib.r325.impl.KUSUR325Impl - -kusuR121.executeListAliasFavContract-> []"
"INFO","04/12/2025 21:37:23:490","UuaasDefault","com.bbva.kusu.lib.r325.impl.KUSUR325Impl - -LEGACY Flow"
"INFO","04/12/2025 21:37:23:490","UuaasDefault","com.bbva.kusu.lib.r325.impl.KUSUR325Impl - -isNewProfile -> true"
"INFO","04/12/2025 21:37:23:490","UuaasDefault","com.bbva.kusu.lib.r325.impl.KUSUR325Impl - -kusuRF25.executeGetAliasFavoriteContractsListHost -> []"
"INFO","04/12/2025 21:37:23:490","UuaasDefault","com.bbva.kusu.lib.r325.impl.KUSUR325Impl - -aliasFavContractsLEGACY -> []"
"INFO","04/12/2025 21:37:23:490","UuaasDefault","com.bbva.kusu.lib.r325.impl.KUSUR325Impl - Merge ALPHA and LEGACY results-> []"
"INFO","04/12/2025 21:37:23:490","UuaasDefault","com.bbva.kusu.lib.r325.impl.KUSUR325Impl - -Response list is empty !! -> KUSU01433057"
"INFO","04/12/2025 21:37:23:491","RuntimeOnline","com.bbva.elara.online.common.AbstractCommon - Added Advice KUSU01433057"
"DEBUG","04/12/2025 21:37:23:491","RuntimeOnline","com.bbva.elara.semaas.tracers.SemaasTracer - setting parent's span in MDC context to return the execution to the calling method"
